,Year,COU,Country,Composting%,Disposal%,Landfill%,Material_recovery%,Recovery%,Recycling%,Amt_for_recovery_operations,Composting,Electronic_waste,Household_waste,Landfill,Municipal_waste_generated,Municipal_waste_generated_percapita,Municipal_waste_generated_1990,Municipal_waste_generated_2000,Municipal_waste_treated,Recycling,Total_Incineration,Waste_from_households,Country_y,CO2_emissions_percapita,Female_education_attainment_bach,Male_education_attainment_bach,Total_education_attainment_bach,Energy_use_percapita,Forest_area,GDP_2015_USD,GDP_growth%,GDP_percapita_2015_USD,GDP_percapita_growth%,Education_expense_%_of_gdp,Education_expense_%_of_total_exp,Population_density,Population_growth%,Population_female,Population_female_%,Population_total,Poverty_headcount%_ppp,Poverty_headcount%_national_line,Population_urban%,Population_urban_growth%
25,1991,ITA,Italy,,,,,,,,,,,,23200.0,406.389,116.0,80.113,,,,,Italy,7.11910727906388,,,,2645.67323732766,76677.0,1583235965443.08,1.53844755776618,27894.2427947176,1.46817561113606,,,192.983988983714,0.0692311889532843,29173243,51.3988784883021,56758521,0.2,,66.706,0.0392535418060194
26,1991,JPN,Japan,,,16.542,6.063,,6.063,,,,,8458.0,51132.0,409.286,101.742,93.25,51128.94,3100.0,36169.0,,Japan,8.90565002742732,,,,3574.00592914072,249426.0,3633170889061.82,3.52335723533228,29308.274088137,3.11749463315445,,,340.0,0.392819832481862,62889471,50.7320441268103,123964000,,,77.473,0.565933802429155
27,1991,KOR,Korea,,91.02,91.02,7.356,7.356,7.356,2476.89,,,,30646.5,33669.8,776.282,109.867,198.643,33670.01,2476.89,546.62,,"Korea, Rep.",6.34681907470543,,,,2306.64347206365,65435.0,444760345044.788,10.7780561268967,10272.6206979978,9.68699892935838,3.48924994468689,,448.84619531412,0.989785981821526,21586978,49.8593991840297,43295704,,,74.972,2.50578148499851
28,1991,LUX,Luxembourg,,,,,,,,,,,,216.8,561.135,96.959,76.001,,,,,Luxembourg,30.3617571059432,,,,9353.42118863049,,27391849518.0187,8.64418802404397,70779.9729147771,7.19840619374983,,,,1.33968316953886,197450,51.0205613475655,387000,0.0,,81.13,1.56550866915116
29,1991,MEX,Mexico,,99.318,99.318,0.682,0.682,0.682,143.73,,,,20918.6,21062.33,246.307,,68.533,21062.33,143.73,,16849.86,Mexico,3.36792389979486,,,,1518.48927657123,703706.2,652670187687.28,4.21475483853031,7632.44279095691,2.30201263977925,2.54800009727478,12.1545896530151,43.9891051724581,1.8524373770111,43238119,50.5634355424564,85512621,,,71.816,2.4067720596326
30,1991,NLD,Netherlands,6.631,52.841,50.398,14.701,47.159,8.069,3378.0,475.0,,,3610.0,7470.0,495.867,100.538,78.392,7163.0,578.0,2500.0,5947.0,Netherlands,10.2529576043421,,,,4603.73317545464,3467.47,476426432932.937,2.43913440834392,31614.6528926889,1.63505459712852,5.16165018081665,11.070839881897,446.380272511848,0.788031035375139,7614647,50.5291903719215,15069798,,,69.329,1.72273120380975
31,1991,POL,Poland,,,,,,,,,,,,10638.0,279.338,95.855,87.011,,,,6896.0,Poland,9.19359477164172,,,,2641.02944834274,88997.0,181443321474.997,-7.01557878958,4744.08842404254,-7.34479099275339,3.89144992828369,,124.86921871429,0.354679168347882,19626071,51.3150980465269,38246193,,,61.315,0.428097164036048
32,1991,TUR,Türkiye,,,,,,,,,,,,22315.0,406.907,,72.884,,,,,Turkiye,2.62214514630996,,,,947.755198498485,198199.67,290820211162.193,0.720279035610048,5303.00977154228,-0.967257706619733,,,71.2557917440848,1.68966344498433,27764716,50.6280356732089,54840595,,,59.976,2.98689047265285
33,1991,USA,United States,2.31,65.999,65.999,17.97,34.001,15.66,64074.0,4354.0,,,124375.0,188449.0,740.353,99.741,85.327,188449.0,29511.0,30209.0,,United States,19.003403417648,,,,7631.46780588265,3025586.0,9800432919000.0,-0.108264790855543,38739.7983208225,-1.43420012525736,,,27.6211491261017,1.33626074073779,128977075,50.9829098304796,252981000,0.5,,75.701,1.86738439894312
34,1992,AUS,Australia,,,,,,,,,,,,12000.0,689.569,,90.909,,,,7000.0,Australia,15.3415261503287,,,,4959.21491854816,1334685.8,631080336422.977,0.413780383815748,36072.0398069721,-0.797268925185989,4.68387985229492,13.2040195465088,2.2773127839319,1.21339077499647,8783194,50.2040233007602,17495000,,,85.285,1.07512520970029
